,layer,activation,solver,learning_rate,alpha,accuracy
300,"(32, 32)",tanh,adam,0.0001,0.0001,1.0
541,"(128, 128)",tanh,adam,0.0001,0.001,1.0
31,"(8, 8)",relu,adam,0.01,0.001,1.0
32,"(8, 8)",relu,adam,0.01,0.01,1.0
528,"(128, 128)",tanh,sgd,0.001,0.1,1.0
148,"(16, 16)",relu,adam,0.001,0.1,1.0
147,"(16, 16)",relu,adam,0.001,0.01,1.0
266,"(32, 32)",relu,adam,0.001,0.001,1.0
141,"(16, 16)",relu,adam,0.0001,0.001,1.0
504,"(128, 128)",relu,adam,0.0001,1.0,1.0
492,"(128, 128)",relu,sgd,0.01,0.01,1.0
288,"(32, 32)",tanh,sgd,0.001,0.1,1.0
131,"(16, 16)",relu,sgd,0.01,0.001,1.0
304,"(32, 32)",tanh,adam,0.0001,1.0,1.0
62,"(8, 8)",tanh,adam,0.0001,0.01,1.0
480,"(128, 128)",relu,sgd,0.0001,0.0001,1.0
126,"(16, 16)",relu,sgd,0.001,0.001,1.0
308,"(32, 32)",tanh,adam,0.001,0.1,1.0
430,"(64, 64)",tanh,adam,0.01,0.0001,1.0
369,"(64, 64)",relu,sgd,0.001,1.0,1.0
371,"(64, 64)",relu,sgd,0.01,0.001,1.0
412,"(64, 64)",tanh,sgd,0.01,0.01,1.0
405,"(64, 64)",tanh,sgd,0.001,0.0001,1.0
27,"(8, 8)",relu,adam,0.001,0.01,1.0
503,"(128, 128)",relu,adam,0.0001,0.1,1.0
192,"(16, 16)",tanh,adam,0.01,0.01,1.0
545,"(128, 128)",tanh,adam,0.001,0.0001,1.0
23,"(8, 8)",relu,adam,0.0001,0.1,1.0
191,"(16, 16)",tanh,adam,0.01,0.001,1.0
5,"(8, 8)",relu,sgd,0.001,0.0001,1.0
187,"(16, 16)",tanh,adam,0.001,0.01,1.0
6,"(8, 8)",relu,sgd,0.001,0.001,1.0
185,"(16, 16)",tanh,adam,0.001,0.0001,1.0
346,"(32, 32)",logistic,adam,0.001,0.001,0.9882352941176471
345,"(32, 32)",logistic,adam,0.001,0.0001,0.9882352941176471
342,"(32, 32)",logistic,adam,0.0001,0.01,0.9882352941176471
340,"(32, 32)",logistic,adam,0.0001,0.0001,0.9882352941176471
341,"(32, 32)",logistic,adam,0.0001,0.001,0.9882352941176471
360,"(64, 64)",relu,sgd,0.0001,0.0001,0.9882352941176471
329,"(32, 32)",logistic,sgd,0.001,1.0,0.9882352941176471
325,"(32, 32)",logistic,sgd,0.001,0.0001,0.9882352941176471
312,"(32, 32)",tanh,adam,0.01,0.01,0.9882352941176471
307,"(32, 32)",tanh,adam,0.001,0.01,0.9882352941176471
188,"(16, 16)",tanh,adam,0.001,0.1,0.9882352941176471
305,"(32, 32)",tanh,adam,0.001,0.0001,0.9882352941176471
357,"(32, 32)",logistic,adam,0.1,0.01,0.9882352941176471
368,"(64, 64)",relu,sgd,0.001,0.1,0.9882352941176471
365,"(64, 64)",relu,sgd,0.001,0.0001,0.9882352941176471
366,"(64, 64)",relu,sgd,0.001,0.001,0.9882352941176471
370,"(64, 64)",relu,sgd,0.01,0.0001,0.9882352941176471
372,"(64, 64)",relu,sgd,0.01,0.01,0.9882352941176471
374,"(64, 64)",relu,sgd,0.01,1.0,0.9882352941176471
184,"(16, 16)",tanh,adam,0.0001,1.0,0.9882352941176471
381,"(64, 64)",relu,adam,0.0001,0.001,0.9882352941176471
382,"(64, 64)",relu,adam,0.0001,0.01,0.9882352941176471
384,"(64, 64)",relu,adam,0.0001,1.0,0.9882352941176471
181,"(16, 16)",tanh,adam,0.0001,0.001,0.9882352941176471
385,"(64, 64)",relu,adam,0.001,0.0001,0.9882352941176471
386,"(64, 64)",relu,adam,0.001,0.001,0.9882352941176471
387,"(64, 64)",relu,adam,0.001,0.01,0.9882352941176471
388,"(64, 64)",relu,adam,0.001,0.1,0.9882352941176471
189,"(16, 16)",tanh,adam,0.001,1.0,0.9882352941176471
245,"(32, 32)",relu,sgd,0.001,0.0001,0.9882352941176471
246,"(32, 32)",relu,sgd,0.001,0.001,0.9882352941176471
262,"(32, 32)",relu,adam,0.0001,0.01,0.9882352941176471
226,"(16, 16)",logistic,adam,0.001,0.001,0.9882352941176471
265,"(32, 32)",relu,adam,0.001,0.0001,0.9882352941176471
264,"(32, 32)",relu,adam,0.0001,1.0,0.9882352941176471
236,"(16, 16)",logistic,adam,0.1,0.001,0.9882352941176471
241,"(32, 32)",relu,sgd,0.0001,0.001,0.9882352941176471
263,"(32, 32)",relu,adam,0.0001,0.1,0.9882352941176471
254,"(32, 32)",relu,sgd,0.01,1.0,0.9882352941176471
303,"(32, 32)",tanh,adam,0.0001,0.1,0.9882352941176471
