3,C,kernel,gamma,degree,accuracy
205,0.1,poly,auto,3,1.0
261,1.0,poly,auto,3,1.0
206,0.1,poly,auto,4,1.0
150,0.01,poly,auto,4,1.0
373,100.0,poly,auto,3,1.0
374,100.0,poly,auto,4,1.0
149,0.01,poly,auto,3,1.0
38,0.0001,poly,auto,4,1.0
94,0.001,poly,auto,4,1.0
317,10.0,poly,auto,3,1.0
318,10.0,poly,auto,4,1.0
262,1.0,poly,auto,4,1.0
66,0.001,linear,auto,4,0.9882352941176471
319,10.0,poly,auto,5,0.9882352941176471
57,0.001,linear,scale,2,0.9882352941176471
322,10.0,rbf,scale,1,0.9882352941176471
58,0.001,linear,scale,3,0.9882352941176471
59,0.001,linear,scale,4,0.9882352941176471
61,0.001,linear,scale,6,0.9882352941176471
323,10.0,rbf,scale,2,0.9882352941176471
324,10.0,rbf,scale,3,0.9882352941176471
62,0.001,linear,scale,7,0.9882352941176471
325,10.0,rbf,scale,4,0.9882352941176471
63,0.001,linear,auto,1,0.9882352941176471
326,10.0,rbf,scale,5,0.9882352941176471
64,0.001,linear,auto,2,0.9882352941176471
327,10.0,rbf,scale,6,0.9882352941176471
65,0.001,linear,auto,3,0.9882352941176471
68,0.001,linear,auto,6,0.9882352941176471
67,0.001,linear,auto,5,0.9882352941176471
69,0.001,linear,auto,7,0.9882352941176471
0,0.0001,linear,scale,1,0.9882352941176471
316,10.0,poly,auto,2,0.9882352941176471
151,0.01,poly,auto,5,0.9882352941176471
270,1.0,rbf,scale,5,0.9882352941176471
269,1.0,rbf,scale,4,0.9882352941176471
268,1.0,rbf,scale,3,0.9882352941176471
267,1.0,rbf,scale,2,0.9882352941176471
266,1.0,rbf,scale,1,0.9882352941176471
271,1.0,rbf,scale,6,0.9882352941176471
272,1.0,rbf,scale,7,0.9882352941176471
263,1.0,poly,auto,5,0.9882352941176471
260,1.0,poly,auto,2,0.9882352941176471
259,1.0,poly,auto,1,0.9882352941176471
252,1.0,poly,scale,1,0.9882352941176471
1,0.0001,linear,scale,2,0.9882352941176471
95,0.001,poly,auto,5,0.9882352941176471
93,0.001,poly,auto,3,0.9882352941176471
147,0.01,poly,auto,1,0.9882352941176471
148,0.01,poly,auto,2,0.9882352941176471
308,10.0,poly,scale,1,0.9882352941176471
309,10.0,poly,scale,2,0.9882352941176471
328,10.0,rbf,scale,7,0.9882352941176471
56,0.001,linear,scale,1,0.9882352941176471
60,0.001,linear,scale,5,0.9882352941176471
375,100.0,poly,auto,5,0.9882352941176471
39,0.0001,poly,auto,5,0.9882352941176471
203,0.1,poly,auto,1,0.9882352941176471
204,0.1,poly,auto,2,0.9882352941176471
